x,y,z
10689.54607,100813.2874,442.172449
10690.87819,100812.6204,437.399555
10692.21062,100811.9502,432.627182
10693.54337,100811.277,427.85533
10694.87638,100810.6009,423.083966
10696.06353,100809.9976,418.831067
10725.47983,100777.2912,448.471682
10727.51038,100775.9784,444.022761
10729.54666,100774.6657,439.576449
10731.58199,100773.3566,435.128615
10733.61605,100772.0515,430.679071
10735.64885,100770.7501,426.227819
10737.68039,100769.4527,421.774863
10739.71035,100768.1596,417.319926
10741.73816,100766.8718,412.862451
10743.76378,100765.5895,408.402429
10745.78721,100764.3125,403.939868
10747.80845,100763.0409,399.474775
10749.8302,100761.7746,395.008431
10751.8568,100760.5131,390.542891
10753.88829,100759.2566,386.07819
10726.39689,100777.7138,447.775262
10728.4692,100776.4768,443.392365
10730.53759,100775.2256,439.011605
10732.59672,100773.9623,434.629959
10734.64654,100772.687,430.247446
10736.68702,100771.3996,425.864105
10738.71815,100770.1001,421.47998
10740.74006,100768.7903,417.094691
10742.75294,100767.4722,412.707685
10744.75679,100766.1461,408.318986
10746.75158,100764.8119,403.928619
10748.73731,100763.4696,399.53661
10750.71399,100762.1201,395.142716
10752.68165,100760.7647,390.746586
10754.64026,100759.4035,386.348239
10724.62404,100777.1809,449.038707
10726.52997,100775.7857,444.594224
10728.43684,100774.376,440.154738
10730.34087,100772.9472,435.720173
10732.2416,100771.4986,431.290589
10734.13898,100770.0303,426.866058
10736.03298,100768.5423,422.446656
10737.92426,100767.0357,418.03242
10739.81546,100765.5141,413.623264
10741.70682,100763.978,409.219218
10743.59834,100762.4275,404.820321
10745.48999,100760.8624,400.426615
10747.38178,100759.2845,396.037571
10749.27375,100757.6993,391.651227
10751.1659,100756.1073,387.267422
10773.20361,100782.2976,405.260176
10770.3611,100783.8437,401.448382
10767.51895,100785.396,397.638853
10764.67647,100786.9506,393.830504
10761.83165,100788.4958,390.020084
10758.98434,100790.0308,386.207392
10756.13457,100791.5556,382.392446
10753.28234,100793.0701,378.575263
10750.42851,100794.5774,374.756388
10747.57557,100796.0861,370.937406
10744.72368,100797.5967,367.118424
10742.60541,100798.7205,364.28092
10659.79547,100704.0319,559.595573
10658.10983,100704.9606,554.952309
10656.4223,100705.8957,550.311036
10654.73282,100706.8374,545.671794
10653.04139,100707.7856,541.034591
10651.34802,100708.7404,536.399437
10649.6544,100709.7028,531.765964
10647.965,100710.6759,527.133185
10646.28008,100711.6599,522.501072
10644.59965,100712.6548,517.86965
10699.02633,100691.6347,534.397672
10696.97765,100692.8356,529.99761
10694.92957,100694.0497,525.600867
10692.88213,100695.277,521.207476
10690.83556,100696.5173,516.817361
10688.79144,100697.7708,512.429833
10686.75008,100699.0373,508.04479
10684.7115,100700.317,503.662265
10682.6757,100701.6098,499.28229
10680.64247,100702.915,494.904793
10678.6102,100704.2277,490.5291
10676.78071,100705.4155,486.59023
10836.37307,100892.3881,264.770565
10837.14225,100890.9976,259.998704
10837.91328,100889.6109,255.226024
10838.68784,100888.2281,250.452781
10839.46594,100886.8492,245.678979
10840.24758,100885.4743,240.904625
10715.05394,100681.5001,484.674809
10713.81553,100682.1367,480.365185
10624.12773,100615.5119,520.134434
10621.80261,100616.6189,515.848592
10619.4795,100617.7288,511.562422
10617.1585,100618.8397,507.275362
10614.83963,100619.9516,502.987402
10613.39582,100620.6449,500.315121
10623.77951,100615.4287,520.120153
10621.35927,100616.5098,515.849519
10618.92815,100617.59,511.584847
10616.48442,100618.6676,507.326702
10614.0281,100619.7424,503.075126
10696.08543,100738.7302,484.036266
10693.6578,100739.553,479.743287
10691.22734,100740.3767,475.452098
10688.79551,100741.1985,471.161306
10686.36368,100742.0155,466.869613
10684.37858,100742.679,463.365638
10693.1018,100736.3673,485.826064
10690.31542,100736.9891,481.721268
10687.53825,100737.6466,477.615802
10684.77077,100738.3407,473.509808
10682.01353,100739.0722,469.403433
10679.26669,100739.8412,465.296923
10676.53042,100740.6476,461.190526
10673.80488,100741.4913,457.084491
10671.0874,100742.3597,452.978268
10668.37467,100743.2381,448.871021
10665.66672,100744.1265,444.762768
10663.97478,100744.6874,442.191732
10685.87603,100740.2834,493.886913
10682.57085,100741.4538,490.322393
10679.25379,100742.6465,486.776329
10675.92658,100743.8604,483.247036
10672.5958,100745.0918,479.727152
10669.26222,100746.3402,476.215928
10665.92588,100747.6056,472.713415
10662.58683,100748.888,469.219667
10659.24527,100750.1858,465.734038
10656.92246,100751.0932,463.315376
10736.04634,100729.7896,461.848733
10734.50323,100730.4844,457.143842
10732.96057,100731.1824,452.43927
10731.42072,100731.883,447.734163
10729.88383,100732.5861,443.028465
10728.44109,100733.2497,438.602217
10733.72906,100729.3734,463.983535
10731.90215,100730.0728,459.382094
10730.07759,100730.7909,454.78261
10728.25929,100731.5263,450.183386
10726.44815,100732.2788,445.584095
10724.80391,100732.9794,441.392755
10661.70002,100647.2333,547.776087
10659.10391,100648.1149,543.51604
10656.50953,100648.997,539.255024
10653.91689,100649.8795,534.993039
10651.32609,100650.7624,530.730006
10648.73893,100651.6443,526.464562
10646.15606,100652.5247,522.196219
10643.57748,100653.4037,517.924984
10641.00318,100654.2812,513.650861
10638.43327,100655.1572,509.373794
10635.86879,100656.0313,505.093091
10633.31005,100656.9035,500.80856
10630.75704,100657.7738,496.520208
10779.46991,100803.2722,386.158275
10777.98927,100803.6164,381.394951
10776.50982,100803.9657,376.631631
10775.03187,100804.3203,371.86824
10773.55959,100804.6818,367.103612
10772.09435,100805.0508,362.337381
10770.63617,100805.4272,357.569568
10769.18506,100805.811,352.800192
10767.74078,100806.2019,348.029324
10766.30003,100806.5966,343.257694
10764.86171,100806.9939,338.485541
10763.8064,100807.2874,334.978631
10742.88537,100774.3949,442.699611
10741.22445,100775.1448,438.043542
10739.55986,100775.8984,433.389384
10737.8912,100776.6555,428.737256
10736.21487,100777.4141,424.088116
10734.53009,100778.1737,419.442194
10732.83686,100778.9342,414.799504
10731.13517,100779.6956,410.160061
10729.42463,100780.4596,405.524283
10727.70176,100781.2385,400.895583
10725.96581,100782.0354,396.274822
10724.2168,100782.8501,391.662102
10722.91681,100783.4632,388.260829
10734.67202,100777.8402,442.336194
10732.49742,100778.8864,437.957087
10730.31255,100779.9566,433.588918
10728.12428,100781.0438,429.22664
10725.93599,100782.1445,424.867744
10723.74771,100783.2586,420.512266
10721.55945,100784.3861,416.160238
10719.37126,100785.527,411.811648
10717.18436,100786.6774,407.464918
10714.99934,100787.8354,403.11927
10713.22802,100788.7805,399.594448
10743.68695,100827.8875,410.01073
10741.61444,100828.7601,405.544943
10739.54171,100829.6362,401.07994
10737.46877,100830.5158,396.615723
10735.39562,100831.3989,392.152295
10733.32137,100832.2849,387.689954
10731.2446,100833.1729,383.229181
10729.40535,100833.96,379.284497
10633.25442,100659.2981,564.504292
10630.04957,100660.7198,560.93951
10626.84018,100662.1436,557.379626
10623.62613,100663.5688,553.824535
10620.40552,100664.9867,550.272468
10617.17773,100666.3943,546.722833
10615.0509,100667.3145,544.389574
10818.03542,100816.8687,335.272381
10815.78204,100818.0982,330.981616
10813.52592,100819.332,326.69354
10811.26716,100820.5703,322.408158
10809.00577,100821.8132,318.125476
10806.74175,100823.0606,313.845499
10804.47516,100824.3125,309.568183
10802.20664,100825.5677,305.292874
10799.93639,100826.8259,301.019375
10797.66441,100828.0872,296.747689
10795.59313,100829.2389,292.857764
10810.33524,100823.0061,337.754666
10807.51061,100824.7133,333.998729
10804.69271,100826.456,330.254092
10801.8817,100828.2341,326.520969
10799.07774,100830.0477,322.799575
10796.28101,100831.8965,319.090119
10793.49783,100833.7857,315.390876
10790.7335,100835.7196,311.700566
10787.98831,100837.698,308.019547
10785.26251,100839.7205,304.348177
10782.55637,100841.7872,300.686804
10780.57117,100843.3406,297.987235
10828.72084,100812.2972,266.262014
10826.72428,100813.3464,261.799634
10824.71669,100814.4014,257.343571
10822.6981,100815.4622,252.893857
10820.66852,100816.5288,248.450529
10818.62988,100817.6002,244.012493
10816.58568,100818.6744,239.57772
10814.53601,100819.7516,235.146175
10812.48085,100820.8316,230.717868
10810.42023,100821.9145,226.292807
10808.70283,100822.817,222.615746
10751.61748,100740.4033,396.024027
10750.9431,100745.355,396.183727
10750.26694,100750.3069,396.332961
10749.58902,100755.2587,396.471727
10748.90933,100760.2107,396.600024
10748.22787,100765.1626,396.717853
10747.54465,100770.1145,396.825213
10746.85983,100775.0665,396.922103
10746.17468,100780.0185,397.008522
10745.48951,100784.9708,397.084471
10744.80431,100789.9232,397.149949
10744.1191,100794.8757,397.204956
10743.43388,100799.8283,397.249491
10742.74864,100804.781,397.283555
10742.0634,100809.7338,397.307147
10741.37815,100814.6866,397.320267
10740.6929,100819.6394,397.322915
10740.00765,100824.5922,397.315029
10739.3224,100829.545,397.296079
10738.63716,100834.4978,397.265941
10737.95666,100839.4162,397.224939
10741.36742,100730.2847,410.99967
10745.4839,100728.5523,413.247701
10748.97506,100727.0832,415.142022
10739.23119,100731.3743,419.209172
10742.77319,100729.9416,422.43433
10746.31623,100728.5085,425.658153
10749.86031,100727.075,428.880643
10753.34907,100725.6638,432.050582
10736.14078,100732.1746,428.376976
10738.85442,100730.8983,432.377849
10741.57526,100729.6012,436.367156
10744.30321,100728.2834,440.344801
10747.03596,100726.9488,444.313552
10749.05803,100725.9536,447.243568
10717.25262,100739.4562,448.98605
10717.49719,100739.255,453.976008
10717.74833,100739.0453,458.96529
10718.00599,100738.8271,463.953877
10718.27016,100738.6004,468.941746
10718.49117,100738.4086,473.022768
10702.19859,100746.1547,466.718213
10701.24027,100746.5112,471.61255
10700.28205,100746.8679,476.506887
10699.32384,100747.2247,481.401224
10698.66123,100747.4714,484.785658
10689.22796,100751.3323,463.898841
10687.42005,100752.0727,468.501367
10685.612,100752.8159,473.103401
10683.80181,100753.5622,477.704085
10681.98944,100754.3115,482.303402
10680.17488,100755.0641,486.901348
10678.35815,100755.8197,491.497921
10676.53771,100756.5808,496.092131
10674.71092,100757.3513,500.682242
10672.87775,100758.1314,505.268195
10671.22649,100758.8398,509.381898
10676.60109,100756.2538,455.534655
10673.83797,100757.4068,459.53911
10671.07173,100758.5762,463.536657
10668.30006,100759.7511,467.528849
10665.52281,100760.9305,471.515781
10663.71961,100761.6976,474.097295
10665.24903,100761.1659,448.952484
10682.26309,100774.357,456.071087
10680.06559,100775.3798,460.444284
10677.87412,100776.4157,464.817433
10675.68808,100777.4619,469.190839
10673.50638,100778.5136,473.565092
10671.666,100779.4067,477.262436
10693.95137,100770.4607,455.102585
10692.44534,100771.2515,459.804348
10690.93751,100772.0458,464.504923
10689.42789,100772.8439,469.204305
10687.9164,100773.6435,473.902813
10686.42621,100774.4273,478.528928
10709.01073,100763.0033,440.096666
