x,y,z,68002a18-5f56-57d2-e6c3-5dd87d3b7ad9,688d284c-d2be-5219-b38a-0712a8fa6058,a88f0e41-2dda-6417-3fce-69f19eeabe29,a1757e57-3fd4-0e65-87fd-bfa98abc3caa
10555,100555,405,MV,0,100,All Blocks
10565,100555,405,MV,0,100,All Blocks
10575,100555,405,MV,0,100,All Blocks
10585,100555,405,MV,0,100,All Blocks
10595,100555,405,MV,0,100,All Blocks
10605,100555,405,MV,0,100,All Blocks
10615,100555,405,MV,0,100,All Blocks
10625,100555,405,MV,0,100,All Blocks
10635,100555,405,MV,0,100,All Blocks
10645,100555,405,MV,0,100,All Blocks
10655,100555,405,MV,0,100,All Blocks
10665,100555,405,MV,0,100,All Blocks
10675,100555,405,MV,0,100,All Blocks
10685,100555,405,MV,0,100,All Blocks
10695,100555,405,MV,0,100,All Blocks
10705,100555,405,MV,0,100,All Blocks
10715,100555,405,MV,0,100,All Blocks
10725,100555,405,MV,0,100,All Blocks
10735,100555,405,MV,0,100,All Blocks
10745,100555,405,MV,0,100,All Blocks
10555,100565,405,MV,0,100,All Blocks
10565,100565,405,MV,0,100,All Blocks
10575,100565,405,MV,0,100,All Blocks
10585,100565,405,MV,0,100,All Blocks
10595,100565,405,MV,0,100,All Blocks
10605,100565,405,MV,0,100,All Blocks
10615,100565,405,MV,0,100,All Blocks
10625,100565,405,MV,0,100,All Blocks
10635,100565,405,MV,0,100,All Blocks
10645,100565,405,MV,0,100,All Blocks
10655,100565,405,MV,0,100,All Blocks
10665,100565,405,MV,0,100,All Blocks
10675,100565,405,MV,0,100,All Blocks
10685,100565,405,MV,0,100,All Blocks
10695,100565,405,MV,0,100,All Blocks
10705,100565,405,MV,0,100,All Blocks
10715,100565,405,MV,0,100,All Blocks
10725,100565,405,MV,0,100,All Blocks
10735,100565,405,MV,0,100,All Blocks
10745,100565,405,MV,0,100,All Blocks
10555,100575,405,MV,0,100,All Blocks
10565,100575,405,MV,0,100,All Blocks
10575,100575,405,MV,0,100,All Blocks
10585,100575,405,MV,0,100,All Blocks
10595,100575,405,MV,0,100,All Blocks
10605,100575,405,MV,0,100,All Blocks
