i,j,k,sidx,44fa148e-fbff-4cb0-81ec-1b3fd52a2476,0418a65e-ad83-4bf4-9413-6aa4007f984b,66814097-a0fc-4109-acfd-b2e57789921a
0,0,0,3,9.188674,Greywacke,False
0,0,0,4,7.631879,Greywacke,False
0,0,0,6,7.0813484,Greywacke,False
0,0,0,7,8.964207,Greywacke,False
0,0,0,9,10.554723,Sandstone,False
0,0,0,10,12.308278,Sandstone,False
0,0,0,12,11.417601,Sandstone,False
0,0,0,13,12.015549,Sandstone,False
0,0,0,16,11.661945,Sandstone,False
0,0,0,17,12.036142,Sandstone,False
0,0,0,19,5.51652,Greywacke,False
0,0,0,20,11.941206,Sandstone,False
0,0,0,22,9.228422,Greywacke,False
0,0,0,23,10.513812,Sandstone,False
0,0,0,25,9.416353,Greywacke,False
0,0,0,26,12.341919,Sandstone,False
0,0,0,29,5.9916825,Greywacke,False
0,0,0,30,8.09563,Greywacke,False
0,0,0,32,9.878209,Greywacke,False
0,0,0,33,11.715071,Sandstone,False
0,0,0,35,9.811363,Greywacke,False
0,0,0,36,6.1411796,Greywacke,False
0,0,0,38,8.064559,Greywacke,False
0,0,0,39,9.91074,Greywacke,False
0,0,0,42,6.0230412,Greywacke,False
0,0,0,43,11.391285,Sandstone,False
0,0,0,45,8.997495,Greywacke,False
0,0,0,46,9.886586,Greywacke,False
0,0,0,48,7.177768,Greywacke,False
0,0,0,49,6.435742,Greywacke,False
0,0,0,51,9.220367,Greywacke,False
0,0,0,52,10.892864,Sandstone,False
0,0,0,55,9.531254,Greywacke,False
0,0,0,56,10.203806,Sandstone,False
0,0,0,58,10.550515,Sandstone,False
0,0,0,59,9.552585,Greywacke,False
0,0,0,61,6.8773384,Greywacke,False
0,0,0,62,7.9086986,Greywacke,False
0,0,0,64,9.813156,Greywacke,False
0,0,0,65,9.352609,Greywacke,False
0,0,0,68,10.551671,Sandstone,False
0,0,0,69,8.1289425,Greywacke,False
0,0,0,71,12.349481,Sandstone,False
0,0,0,72,6.7322335,Greywacke,False
0,0,0,74,8.790937,Greywacke,False
0,0,0,75,5.7945247,Greywacke,False
0,0,0,77,6.844404,Greywacke,False
0,0,0,78,8.407012,Greywacke,False
0,0,0,81,6.670474,Greywacke,False
0,0,0,82,12.1696615,Sandstone,False
0,0,0,84,10.565704,Sandstone,False
0,0,0,85,7.785503,Greywacke,False
0,0,0,87,5.880878,Greywacke,False
0,0,0,88,6.598217,Greywacke,False
0,0,0,90,7.5979075,Greywacke,False
0,0,0,91,6.913109,Greywacke,False
0,0,0,94,8.128914,Greywacke,False
0,0,0,95,11.432657,Sandstone,False
0,0,0,97,7.1900735,Greywacke,False
0,0,0,98,10.879637,Sandstone,False
0,0,0,100,12.12098,Sandstone,False
0,0,0,101,10.69313,Sandstone,False
0,0,0,103,9.539332,Greywacke,False
0,0,0,104,5.6628146,Greywacke,False
0,0,1,3,9.485563,Greywacke,False
0,0,1,4,6.6585236,Greywacke,False
0,0,1,6,5.402999,Greywacke,False
0,0,1,7,7.6454244,Greywacke,False
0,0,1,9,11.488363,Sandstone,False
0,0,1,10,7.131493,Greywacke,False
0,0,1,12,10.2703495,Sandstone,False
0,0,1,13,9.990497,Greywacke,False
0,0,1,16,7.778823,Greywacke,False
0,0,1,17,5.616867,Greywacke,False
0,0,1,19,7.28312,Greywacke,False
0,0,1,20,5.011582,Greywacke,False
0,0,1,22,5.903288,Greywacke,False
0,0,1,23,6.1333904,Greywacke,False
0,0,1,25,5.425359,Greywacke,False
0,0,1,26,10.820786,Sandstone,False
0,0,1,29,6.3245587,Greywacke,False
0,0,1,30,7.6129937,Greywacke,False
0,0,1,32,5.7001553,Greywacke,False
0,0,1,33,8.060486,Greywacke,False
0,0,1,35,7.462628,Greywacke,False
0,0,1,36,10.504419,Sandstone,False
0,0,1,38,10.153385,Sandstone,False
0,0,1,39,9.197665,Greywacke,False
0,0,1,42,11.188402,Sandstone,False
0,0,1,43,5.9562054,Greywacke,False
0,0,1,45,9.245701,Greywacke,False
0,0,1,46,10.738394,Sandstone,False
0,0,1,48,8.133738,Greywacke,False
0,0,1,49,10.577812,Sandstone,False
0,0,1,51,5.817564,Greywacke,False
0,0,1,52,6.2705956,Greywacke,False
0,0,1,55,7.443904,Greywacke,False
0,0,1,56,5.5551,Greywacke,False
0,0,1,58,8.615196,Greywacke,False
0,0,1,59,5.1133976,Greywacke,False
0,0,1,61,6.549953,Greywacke,False
0,0,1,62,11.393149,Sandstone,False
0,0,1,64,6.622435,Greywacke,False
0,0,1,65,10.1750145,Sandstone,False
0,0,1,68,8.482445,Greywacke,False
0,0,1,69,10.499841,Sandstone,False
0,0,1,71,11.481575,Sandstone,False
0,0,1,72,9.436902,Greywacke,False
