i,j,k,sidx,da0f878c-c524-622b-50a5-a1f39b6c2075,12b66d3d-838e-2ffe-fd52-9d5144e33e5e,e3f3cfcf-5bc4-f7c9-5364-72151d2f9d70
0,0,0,3,9.188673771,Greywacke,FALSE
0,0,0,4,7.631878909,Greywacke,FALSE
0,0,0,6,7.081348656,Greywacke,FALSE
0,0,0,7,8.964206983,Greywacke,FALSE
0,0,0,9,10.55472321,Sandstone,FALSE
0,0,0,10,12.30827788,Sandstone,FALSE
0,0,0,12,11.41760066,Sandstone,FALSE
0,0,0,13,12.01554896,Sandstone,FALSE
0,0,0,16,11.66194572,Sandstone,FALSE
0,0,0,17,12.03614204,Sandstone,FALSE
0,0,0,19,5.516519885,Greywacke,FALSE
0,0,0,20,11.94120593,Sandstone,FALSE
0,0,0,22,9.228421896,Greywacke,FALSE
0,0,0,23,10.51381236,Sandstone,FALSE
0,0,0,25,9.416353635,Greywacke,FALSE
0,0,0,26,12.34191895,Sandstone,FALSE
0,0,0,29,5.991682622,Greywacke,FALSE
0,0,0,30,8.095629708,Greywacke,FALSE
0,0,0,32,9.878209376,Greywacke,FALSE
0,0,0,33,11.71507025,Sandstone,FALSE
0,0,0,35,9.811363454,Greywacke,FALSE
0,0,0,36,6.141179629,Greywacke,FALSE
0,0,0,38,8.064558817,Greywacke,FALSE
0,0,0,39,9.91073987,Greywacke,FALSE
0,0,0,42,6.023041377,Greywacke,FALSE
0,0,0,43,11.3912849,Sandstone,FALSE
0,0,0,45,8.997494607,Greywacke,FALSE
0,0,0,46,9.886586104,Greywacke,FALSE
0,0,0,48,7.177768107,Greywacke,FALSE
0,0,0,49,6.435742092,Greywacke,FALSE
0,0,0,51,9.22036743,Greywacke,FALSE
0,0,0,52,10.89286443,Sandstone,FALSE
0,0,0,55,9.531254146,Greywacke,FALSE
0,0,0,56,10.20380567,Sandstone,FALSE
0,0,0,58,10.55051548,Sandstone,FALSE
0,0,0,59,9.55258495,Greywacke,FALSE
0,0,0,61,6.877338356,Greywacke,FALSE
0,0,0,62,7.908698602,Greywacke,FALSE
0,0,0,64,9.81315586,Greywacke,FALSE
0,0,0,65,9.352608666,Greywacke,FALSE
0,0,0,68,10.55167122,Sandstone,FALSE
0,0,0,69,8.128942354,Greywacke,FALSE
0,0,0,71,12.34948055,Sandstone,FALSE
0,0,0,72,6.732233349,Greywacke,FALSE
0,0,0,74,8.790937252,Greywacke,FALSE
0,0,0,75,5.794524758,Greywacke,FALSE
0,0,0,77,6.844404449,Greywacke,FALSE
0,0,0,78,8.407012423,Greywacke,FALSE
0,0,0,81,6.670474107,Greywacke,FALSE
0,0,0,82,12.16966109,Sandstone,FALSE
0,0,0,84,10.56570439,Sandstone,FALSE
0,0,0,85,7.785502768,Greywacke,FALSE
0,0,0,87,5.880878178,Greywacke,FALSE
0,0,0,88,6.598216839,Greywacke,FALSE
0,0,0,90,7.597907672,Greywacke,FALSE
0,0,0,91,6.913109047,Greywacke,FALSE
0,0,0,94,8.128913979,Greywacke,FALSE
