BHID,XCOLLAR,YCOLLAR,ZCOLLAR,maxdepth,Hole Type,Random Number
WP001,445198.218,494110.593,3057.757536,198.050003,DD,0.508293253
WP002,445196.625,494109.656,3054.265408,222.100006,DD,0.646661381
WP003,445260.563,493860.719,3009.038328,208.199997,DD,0.923032655
WP004,445203.344,493720.656,3033.777664,200,DD,0.929552414
WP005,445291.563,493566.219,2957.43473,200,DD,0.456013795
WP006,445294.031,493886.813,2970.848677,562,DD,0.629383024
WP007,445296.594,493890.25,2974.079767,182.149994,DD,0.96659562
WP008,445460.813,493321.156,2979.143623,192.25,DD,0.774437066
WP009,445452.313,493402.188,2980.300987,178.25,DD,0.530741422
WP010,445427.219,493523.688,2978.657715,610.299988,DD,0.115776864
WP011,445149.156,493884.594,3099.24894,200,DD,0.13738979
WP012,445293.844,493889.875,2973.703861,602.299988,DD,0.215853199
WP013,445536.156,493143.531,2976.944693,200,DD,0.686507802
WP014,445633.219,492890.344,2935.561738,202,DD,0.511576982
WP015,445203.125,493720.188,3033.790047,574.849976,DD,0.080792158
WP016,445567.375,493500.906,2885.072226,200.100006,DD,0.462093387
WP017,445455.094,493658.188,2874.973635,200,DD,0.95867428
WP018,445203.75,493719.781,3033.170458,376,DD,0.87579654
WP019,445708.625,493127.188,2880.633512,200.100006,DD,0.352371174
WP020,445294.656,493888.094,2971.452946,370.200012,DD,0.996235852
WP021,445601.375,493296.719,2915.152572,200.050003,DD,0.661067183
WP022,445501.531,493295.094,2962.1277,191.699997,DD,0.992827764
WP023,445403.938,493786.094,2905.754071,233.800003,DD,0.483769445
WP025,445582.563,493406,2870.712443,287.700012,DD,0.143592986
WP026,445273.406,493806.938,3006.527137,506.700012,DD,0.288757404
WP027,445486.531,493388.031,2952.067476,199.199997,DD,0.599250799
WP028,445588.156,493609.781,2881.647222,463.049988,DD,0.558806702
WP029,445471.156,493569.75,2946.427978,388.299988,DD,0.125365128
WP030,445215,493776.375,3048.843309,590.700012,DD,0.439840146
WP031,445655.75,493150.844,2911.520759,375.25,DD,0.89072129
WP032,445489.125,493495.875,2955.541962,200.149994,DD,0.742663697
WP033,444889.469,493612.344,2838.68564,326.25,DD,0.137828379
WP034,445232.75,493996.344,3018.829076,410,DD,0.486964363
WP035,445328.156,493498.875,2987.704982,250.100006,DD,0.073881653
WP036,444880.719,493482.719,2759.639676,419.649994,DD,0.714764482
WP037,444874.938,493699.031,2868.262248,200,DD,0.992924139
WP038,445299.594,493706.313,2967.89337,401.399994,DD,0.484833468
WP039,444874.938,493699.031,2868.262248,119.050003,DD,0.527828468
WP040,445224.25,494092.344,3056.276764,500,DD,0.824816704
WP041,444788.563,493811.25,2840.661391,400,DD,0.285227802
WP043,445104.438,493997.938,3137.655881,347.899994,DD,0.604197761
WP044,445292.406,493565.625,2957.04658,440.149994,RC,0.432759109
WP045,445066.281,493922.031,3174.383726,172.949997,RC,0.834230462
WP046,444772.063,493891.594,2880.401378,314.350006,RC,0.681418173
WP047,445073.906,494299.875,3245.004123,194.25,RC,0.105170005
WP048,445042,494199.438,3215.912489,450.200012,RC,0.172566159
WP049,445208.594,494189.156,3135.423761,394.200012,RC,0.469576962
WP050,445108.156,494105.75,3128.099366,420.399994,RC,0.19007532
WP052,444812.188,494086.813,2980.95002,175.100006,RC,0.656931875
WP053,445419.75,493605.844,2925.803122,355.549988,RC,0.635708627
WP054,445072.906,494294.906,3243.941452,326.75,RC,0.19249989
WP055,445209.813,494191.906,3135.534242,194.25,RC,0.583764598
WP056,445099.719,494191.375,3166.96857,336.649994,RC,0.058290611
WP057,445022.375,494102.406,3201.16554,160.720001,RC,0.681470558
WP058,445500,493600,2921.35536,105.449997,RC,0.367683105
