BHID,AT,DIP,BRG,Random Numeric
WP001,0,50,90.5,0.724665535
WP001,31,50,90.5,0.740498558
WP001,198.050003,50,90.5,0.751196925
WP002,0,45,271.5,0.769103008
WP002,31,45,271.5,0.575992902
WP002,222.100006,45,271.5,0.685686661
WP003,0,44,271.5,0.258181978
WP003,30,44,271.5,0.322545243
WP003,208.199997,45,271.5,0.26323593
WP004,0,45,265.5,0.808545255
WP004,100,45,265.5,0.824229478
WP004,200,45,265.5,0.409396702
WP005,0,45,272.5,0.805470098
WP005,31,45,272.5,0.140413528
WP005,200,45,272.5,0.915494112
WP006,0,50,269,0.931800095
WP006,562,50,269,0.573219709
WP007,0,60,70,0.742990538
WP007,81.300003,60,70.5,0.085901018
WP007,129.309998,60,70.5,0.552720087
WP007,154.809998,60,72,0.204117926
WP007,180.309998,60,73.5,0.274310393
WP007,182.149994,60,73.5,0.495945731
WP008,0,45,269,0.985124985
WP008,100,45,269,0.731704056
WP008,192.25,45,269,0.626741283
WP009,0,45,270,0.968497041
WP009,178.25,45,270,0.013870539
WP010,0,60,270,0.14024721
WP010,52.200001,61,271.5,0.5786926
WP010,100.199997,62,269.5,0.374412092
WP010,142.199997,63,271.5,0.619375443
WP010,172.199997,64,273.5,0.279037147
WP010,202.199997,65,271.5,0.072742919
WP010,209.699997,64,272.75,0.403005466
WP010,217.199997,63,274,0.032017168
WP010,232.199997,61,276.5,0.775669794
WP010,262.200012,61,276.5,0.398588174
WP010,292.200012,61,275.5,0.524386457
WP010,352.200012,61,277.5,0.918656786
WP010,610.299988,61,277.5,0.446812151
WP011,0,43,272.5,0.391364512
WP011,49.200001,43,272.5,0.015742585
WP011,64.199997,44.5,272.5,0.46731335
WP011,79.199997,46,272.5,0.927050947
WP011,200,46,272.5,0.473444959
WP012,0,60,333,0.961524817
WP012,50.5,60,332.5,0.512184752
WP012,100.199997,60,337.5,0.814332669
WP012,151.199997,60,338.5,0.524624339
WP012,202.199997,60,340.5,0.473250442
WP012,250.199997,60,341.5,0.930195827
WP012,301.200012,60,342.5,0.355072805
