X,Y,Z,Hole ID,CU_pct,AU_gpt,DENSITY
445198.861763,494110.588391,3052.607679,WP001,0.79,1.75,
445200.147289,494110.577172,3051.075590,WP001,0.83,1.73,
445201.432816,494110.565953,3049.543501,WP001,0.84,6,
445202.718342,494110.554735,3048.011412,WP001,0.83,2.56,2.32
445204.003868,494110.543516,3046.479323,WP001,0.97,1.53,2.98
445205.289394,494110.532298,3044.947234,WP001,1.48,2.25,2.52
445206.574921,494110.521079,3043.415145,WP001,1.03,2.24,2.61
445207.860447,494110.509860,3041.883057,WP001,0.38,0.69,2.67
445209.145973,494110.498642,3040.350968,WP001,0.94,1.76,2.74
445210.431500,494110.487423,3038.818879,WP001,1.66,1.48,2.96
445211.717026,494110.476205,3037.286790,WP001,1.12,2.11,3.07
445213.002552,494110.464986,3035.754701,WP001,0.75,2.1,3.05
445214.288078,494110.453767,3034.222612,WP001,1.07,1.55,3.01
445215.573605,494110.442549,3032.690523,WP001,0.92,2.29,2.99
445216.859131,494110.431330,3031.158434,WP001,1.81,1.52,2.94
445218.144657,494110.420111,3029.626345,WP001,3.3,1.64,2.98
445219.430183,494110.408893,3028.094257,WP001,0.91,3.47,3.11
445220.715710,494110.397674,3026.562168,WP001,0.5,1.18,3.06
445222.001236,494110.386456,3025.030079,WP001,0.33,0.99,3.07
445223.286762,494110.375237,3023.497990,WP001,0.14,0.65,3.04
445224.572289,494110.364018,3021.965901,WP001,0.14,0.46,3.14
445225.857815,494110.352800,3020.433812,WP001,0.46,1.01,3.13
445227.143341,494110.341581,3018.901723,WP001,0.45,1.03,3.04
445228.428867,494110.330362,3017.369634,WP001,0.56,0.62,3.02
445229.714394,494110.319144,3015.837546,WP001,0.28,0.85,3.09
445230.999920,494110.307925,3014.305457,WP001,0.37,0.55,3.05
445232.285446,494110.296707,3012.773368,WP001,0.15,1.57,3.09
445233.570972,494110.285488,3011.241279,WP001,0.06,0.96,3.13
445234.856499,494110.274269,3009.709190,WP001,0.08,0.99,3.02
445236.142025,494110.263051,3008.177101,WP001,0.11,1.25,3.02
445237.427551,494110.251832,3006.645012,WP001,0.18,0.8,3.08
445238.713077,494110.240614,3005.112923,WP001,0.06,0.81,2.98
445239.998604,494110.229395,3003.580834,WP001,0.06,0.56,3.11
